timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
320172554,320172027,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320177447,320176915,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320182388,320181830,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320187248,320186693,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320192104,320191578,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320197002,320196467,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320201908,320201355,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320206779,320206243,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320211690,320211132,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320216549,320216019,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320221431,320220907,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320226377,320225796,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320231218,320230683,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320236105,320235571,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320241024,320240459,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320245874,320245347,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320250770,320250236,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320255683,320255123,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320260539,320260011,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320265427,320264900,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320270355,320269788,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320275202,320274678,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320280093,320279562,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320285014,320284451,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320289869,320289339,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320294783,320294227,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320299699,320299115,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320304536,320304004,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320309440,320308891,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
320314337,320313780,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320319194,320318669,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320324084,320323555,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
320328980,320328443,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
